order_id,customer_id,product_id,order_date,qty,discount_rate
O2024000068,C002216,P00021,2024-01-02,1,0.05
O2024000069,C001728,P00078,2024-01-02,1,0.0
O2024000070,C001305,P00128,2024-01-02,1,0.0
O2024000071,C000485,P00104,2024-01-02,1,0.0
O2024000072,C002967,P00043,2024-01-02,1,0.0
O2024000073,C000865,P00009,2024-01-02,1,0.05
O2024000074,C000817,P00180,2024-01-02,1,0.05
O2024000075,C002448,P00095,2024-01-02,3,0.05
O2024000076,C001161,P00061,2024-01-02,1,0.0
O2024000077,C000756,P00187,2024-01-02,1,0.0
O2024000078,C001798,P00082,2024-01-02,4,0.05
O2024000079,C000545,P00181,2024-01-02,1,0.05
O2024000080,C001131,P00052,2024-01-02,1,0.0
O2024000081,C001513,P00025,2024-01-02,3,0.05
O2024000082,C000449,P00178,2024-01-02,1,0.0
O2024000083,C002487,P00050,2024-01-02,2,0.0
O2024000084,C002379,P00037,2024-01-02,1,0.1
O2024000085,C000126,P00166,2024-01-02,2,0.0
O2024000086,C001189,P00074,2024-01-02,1,0.05
O2024000087,C000842,P00036,2024-01-02,2,0.0
O2024000088,C001217,P00049,2024-01-02,1,0.0
O2024000089,C002916,P00192,2024-01-02,2,0.1
O2024000090,C002919,P00053,2024-01-02,1,0.05
O2024000091,C001561,P00158,2024-01-02,1,0.0
O2024000092,C001799,P00075,2024-01-03,2,0.0
O2024000093,C002312,P00001,2024-01-03,2,0.05
O2024000094,C001952,P00022,2024-01-03,1,0.1
O2024000095,C000177,P00007,2024-01-03,1,0.15
O2024000096,C001376,P00062,2024-01-03,1,0.0
O2024000097,C001932,P00194,2024-01-03,2,0.15
O2024000098,C002913,P00158,2024-01-03,1,0.03
O2024000099,C002032,P00042,2024-01-03,1,0.0
O2024000100,C001388,P00151,2024-01-03,1,0.03
O2024000101,C000075,P00005,2024-01-03,3,0.05
O2024000102,C001772,P00087,2024-01-03,1,0.0
O2024000103,C001908,P00113,2024-01-03,2,0.05
O2024000104,C002195,P00186,2024-01-03,1,0.1
O2024000105,C002731,P00018,2024-01-03,1,0.03
O2024000106,C001862,P00078,2024-01-03,1,0.0
O2024000107,C001959,P00026,2024-01-03,2,0.0
O2024000108,C000785,P00025,2024-01-03,1,0.0
O2024000109,C001188,P00150,2024-01-03,1,0.05
O2024000110,C002341,P00072,2024-01-03,1,0.0
O2024000111,C001131,P00105,2024-01-03,4,0.0
O2024000112,C001674,P00142,2024-01-03,1,0.0
O2024000113,C001224,P00001,2024-01-03,1,0.05
O2024000114,C000593,P00019,2024-01-03,3,0.0
O2024000115,C002259,P00003,2024-01-03,3,0.1
O2024000116,C001722,P00017,2024-01-03,1,0.05
O2024000117,C002138,P00105,2024-01-03,1,0.05
O2024000118,C002885,P00177,2024-01-03,1,0.0
O2024000119,C001603,P00167,2024-01-03,1,0.0
O2024000120,C002863,P00030,2024-01-03,3,0.0
O2024000121,C002342,P00066,2024-01-03,1,0.15
O2024000122,C001228,P00048,2024-01-03,1,0.0
O2024000123,C000571,P00016,2024-01-03,1,0.1
O2024000124,C000645,P00168,2024-01-03,1,0.15
O2024000125,C002113,P00090,2024-01-03,1,0.0
O2024000126,C002659,P00114,2024-01-03,1,0.0
O2024000127,C000360,P00170,2024-01-03,2,0.0
O2024000128,C000344,P00100,2024-01-03,2,0.1
O2024000129,C002035,P00117,2024-01-03,1,0.05
O2024000130,C001584,P00059,2024-01-03,1,0.2
O2024000131,C002362,P00091,2024-01-03,2,0.0
O2024000132,C002814,P00044,2024-01-04,1,0.0
O2024000133,C001668,P00140,2024-01-04,1,0.0
O2024000134,C001650,P00068,2024-01-04,1,0.0
O2024000135,C000762,P00071,2024-01-04,1,0.0
O2024000136,C002110,P00006,2024-01-04,2,0.1
O2024000137,C002972,P00093,2024-01-04,2,0.0
O2024000138,C002962,P00100,2024-01-04,1,0.0
O2024000139,C002042,P00196,2024-01-04,1,0.0
O2024000140,C000378,P00192,2024-01-04,1,0.0
O2024000141,C001668,P00144,2024-01-04,2,0.03
O2024000142,C000150,P00013,2024-01-04,1,0.0
O2024000143,C000169,P00002,2024-01-04,2,0.03
O2024000144,C000409,P00086,2024-01-04,1,0.0
O2024000145,C001193,P00037,2024-01-04,3,0.05
O2024000146,C002217,P00179,2024-01-04,2,0.2
O2024000147,C001805,P00187,2024-01-04,1,0.0
O2024000148,C002063,P00096,2024-01-04,1,0.0
O2024000149,C000295,P00062,2024-01-04,1,0.05
O2024000150,C001375,P00179,2024-01-04,1,0.03
O2024000151,C002970,P00134,2024-01-04,1,0.05
O2024000152,C002669,P00091,2024-01-04,1,0.03
O2024000153,C000479,P00092,2024-01-04,1,0.0
O2024000154,C000351,P00116,2024-01-04,1,0.1
O2024000155,C001054,P00123,2024-01-04,1,0.05
O2024000156,C001605,P00023,2024-01-04,1,0.0
O2024000157,C000023,P00006,2024-01-04,1,0.0
O2024000158,C001676,P00059,2024-01-04,1,0.05
O2024000159,C001297,P00046,2024-01-04,1,0.03
O2024000160,C002751,P00035,2024-01-04,2,0.0
O2024000161,C002394,P00156,2024-01-04,1,0.0
O2024000162,C001701,P00082,2024-01-04,1,0.0
O2024000163,C000571,P00095,2024-01-04,1,0.05
O2024000164,C001877,P00160,2024-01-04,1,0.03
O2024000165,C002146,P00042,2024-01-04,2,0.0
O2024000166,C001189,P00019,2024-01-04,1,0.05
O2024000167,C002197,P00067,2024-01-04,1,0.05
O2024000168,C002702,P00198,2024-01-04,2,0.1
O2024000169,C001193,P00181,2024-01-04,1,0.0
O2024000170,C001513,P00070,2024-01-04,2,0.05
O2024000171,C002501,P00079,2024-01-04,2,0.05
O2024000172,C002749,P00025,2024-01-04,1,0.15
O2024000173,C002190,P00063,2024-01-05,1,0.0
O2024000174,C002298,P00117,2024-01-05,1,0.0
O2024000175,C002008,P00053,2024-01-05,2,0.05
O2024000176,C000988,P00111,2024-01-05,1,0.05
O2024000177,C001844,P00068,2024-01-05,1,0.0
O2024000178,C001858,P00189,2024-01-05,1,0.0
O2024000179,C001165,P00049,2024-01-05,1,0.0
O2024000180,C000524,P00050,2024-01-05,4,0.0
O2024000181,C000752,P00077,2024-01-05,3,0.0
O2024000182,C000437,P00117,2024-01-05,1,0.2
O2024000183,C002702,P00051,2024-01-05,1,0.0
O2024000184,C002571,P00166,2024-01-05,2,0.0
O2024000185,C001656,P00198,2024-01-05,2,0.05
O2024000186,C002231,P00192,2024-01-05,1,0.0
O2024000187,C001575,P00049,2024-01-05,1,0.15
O2024000188,C000811,P00176,2024-01-05,1,0.0
O2024000189,C002698,P00075,2024-01-05,1,0.0
O2024000190,C001710,P00136,2024-01-05,1,0.05
O2024000191,C001711,P00004,2024-01-05,1,0.0
O2024000192,C000224,P00005,2024-01-05,2,0.0
O2024000193,C002734,P00188,2024-01-05,1,0.0
O2024000194,C001424,P00064,2024-01-05,1,0.05
O2024000195,C002064,P00068,2024-01-05,2,0.05
O2024000196,C002160,P00170,2024-01-05,1,0.0
O2024000197,C000108,P00083,2024-01-05,2,0.05
O2024000198,C000689,P00092,2024-01-05,1,0.03
O2024000199,C000146,P00035,2024-01-05,1,0.0
O2024000200,C002106,P00033,2024-01-05,1,0.0
O2024000201,C002347,P00172,2024-01-05,1,0.1
O2024000202,C001148,P00124,2024-01-05,1,0.1
O2024000203,C002383,P00085,2024-01-05,2,0.05
O2024000204,C001526,P00159,2024-01-05,1,0.0
O2024000205,C001575,P00050,2024-01-05,4,0.1
O2024000206,C001436,P00073,2024-01-05,1,0.15
O2024000207,C000624,P00168,2024-01-05,1,0.15
O2024000208,C001821,P00114,2024-01-05,1,0.05
O2024000209,C001131,P00123,2024-01-05,1,0.1
O2024000210,C002557,P00192,2024-01-05,1,0.0
O2024000211,C002811,P00111,2024-01-05,3,0.0
O2024000212,C001311,P00074,2024-01-05,4,0.0
O2024000213,C002330,P00052,2024-01-05,1,0.0
O2024000214,C002044,P00087,2024-01-05,2,0.0
O2024000215,C001136,P00042,2024-01-05,1,0.0
O2024000216,C002627,P00192,2024-01-05,2,0.05
O2024000217,C001590,P00041,2024-01-06,1,0.1
O2024000218,C001438,P00162,2024-01-06,1,0.0
O2024000219,C000348,P00065,2024-01-06,2,0.0
O2024000220,C001983,P00006,2024-01-06,1,0.0
O2024000221,C000484,P00030,2024-01-06,1,0.0
O2024000222,C001396,P00179,2024-01-06,1,0.15
O2024000223,C002584,P00092,2024-01-06,1,0.05
O2024000224,C002061,P00062,2024-01-06,1,0.1
O2024000225,C001994,P00076,2024-01-06,2,0.05
O2024000226,C000738,P00191,2024-01-06,1,0.0
O2024000227,C002146,P00092,2024-01-06,1,0.0
O2024000228,C001288,P00006,2024-01-06,3,0.0
O2024000229,C001393,P00052,2024-01-06,1,0.1
O2024000230,C001952,P00112,2024-01-06,2,0.1
O2024000231,C002099,P00077,2024-01-06,2,0.1
O2024000232,C002938,P00102,2024-01-06,1,0.15
O2024000233,C002158,P00185,2024-01-06,2,0.0
O2024000234,C001869,P00075,2024-01-06,1,0.0
O2024000235,C002478,P00092,2024-01-06,2,0.0
O2024000236,C000891,P00065,2024-01-06,3,0.05
O2024000237,C002049,P00123,2024-01-06,1,0.1
O2024000238,C001653,P00066,2024-01-06,1,0.0
O2024000239,C002166,P00078,2024-01-06,1,0.05
O2024000240,C001932,P00060,2024-01-06,1,0.1
O2024000241,C000757,P00074,2024-01-06,1,0.0
O2024000242,C001325,P00169,2024-01-06,1,0.0
O2024000243,C002961,P00019,2024-01-06,1,0.0
O2024000244,C001085,P00196,2024-01-06,1,0.03
O2024000245,C000209,P00180,2024-01-06,2,0.03
O2024000246,C000571,P00200,2024-01-06,2,0.05
O2024000247,C002054,P00030,2024-01-06,1,0.1
O2024000248,C002413,P00198,2024-01-06,2,0.05
O2024000249,C001769,P00031,2024-01-06,1,0.15
O2024000250,C001152,P00073,2024-01-06,4,0.0
O2024000251,C001526,P00048,2024-01-06,1,0.0
O2024000252,C002121,P00173,2024-01-06,2,0.0
O2024000253,C001907,P00155,2024-01-06,2,0.03
O2024000254,C002212,P00170,2024-01-06,1,0.1
O2024000255,C002028,P00120,2024-01-06,1,0.1
O2024000256,C000154,P00075,2024-01-06,1,0.05
O2024000257,C000353,P00060,2024-01-06,1,0.05
O2024000258,C001498,P00161,2024-01-06,1,0.0
O2024000259,C000205,P00196,2024-01-06,2,0.0
O2024000260,C000759,P00185,2024-01-06,1,0.05
O2024000261,C000006,P00126,2024-01-06,1,0.1
O2024000262,C000294,P00030,2024-01-06,1,0.0
O2024000263,C001755,P00077,2024-01-07,3,0.05
O2024000264,C000982,P00059,2024-01-07,1,0.0
O2024000265,C000101,P00182,2024-01-07,4,0.0
O2024000266,C000990,P00043,2024-01-07,4,0.05
O2024000267,C002503,P00142,2024-01-07,1,0.05
O2024000268,C001883,P00055,2024-01-07,1,0.2
O2024000269,C002015,P00073,2024-01-07,3,0.15
O2024000270,C001262,P00033,2024-01-07,1,0.0
O2024000271,C001305,P00014,2024-01-07,3,0.05
O2024000272,C002084,P00019,2024-01-07,3,0.0
O2024000273,C002463,P00008,2024-01-07,1,0.0
O2024000274,C000945,P00120,2024-01-07,1,0.0
O2024000275,C000686,P00103,2024-01-07,3,0.05
O2024000276,C001603,P00193,2024-01-07,4,0.05
O2024000277,C000803,P00076,2024-01-07,1,0.0
O2024000278,C001083,P00104,2024-01-07,3,0.15
O2024000279,C001565,P00106,2024-01-07,2,0.05
O2024000280,C002189,P00083,2024-01-07,2,0.0
O2024000281,C001838,P00065,2024-01-07,2,0.03
O2024000282,C002881,P00195,2024-01-07,1,0.0
O2024000283,C002924,P00070,2024-01-07,2,0.0
O2024000284,C001990,P00186,2024-01-07,1,0.0
O2024000285,C000742,P00044,2024-01-07,1,0.03
O2024000286,C001117,P00093,2024-01-07,1,0.05
O2024000287,C000259,P00103,2024-01-07,2,0.15
O2024000288,C002355,P00158,2024-01-07,3,0.1
O2024000289,C001888,P00166,2024-01-07,3,0.0
O2024000290,C000707,P00053,2024-01-07,1,0.05
O2024000291,C001550,P00084,2024-01-07,1,0.03
O2024000292,C002594,P00044,2024-01-07,1,0.05
O2024000293,C002379,P00001,2024-01-07,2,0.1
O2024000294,C001234,P00068,2024-01-07,1,0.0
O2024000295,C001891,P00169,2024-01-07,1,0.0
O2024000296,C002371,P00130,2024-01-07,1,0.0
O2024000297,C002702,P00064,2024-01-07,2,0.1
O2024000298,C001449,P00097,2024-01-07,2,0.05
O2024000299,C002187,P00016,2024-01-07,2,0.0
O2024000300,C000793,P00188,2024-01-07,4,0.05
O2024000301,C000366,P00022,2024-01-07,2,0.0
O2024000302,C001305,P00164,2024-01-07,1,0.2
O2024000303,C001668,P00159,2024-01-07,2,0.0
O2024000304,C001994,P00135,2024-01-07,1,0.05
O2024000305,C002602,P00078,2024-01-07,1,0.0
O2024000306,C000081,P00090,2024-01-07,2,0.0
O2024000307,C000019,P00052,2024-01-07,1,0.1
O2024000308,C002459,P00172,2024-01-07,2,0.0
O2024000309,C001409,P00031,2024-01-07,2,0.0
O2024000310,C001982,P00090,2024-01-07,1,0.0
O2024000311,C002390,P00096,2024-01-07,1,0.05
O2024000312,C002371,P00168,2024-01-07,1,0.1
O2024000313,C000590,P00074,2024-01-07,2,0.0
O2024000314,C000469,P00075,2024-01-07,2,0.03
O2024000315,C000720,P00097,2024-01-07,2,0.05
O2024000316,C001446,P00160,2024-01-07,3,0.05
O2024000317,C000400,P00126,2024-01-08,2,0.0
O2024000318,C001875,P00092,2024-01-08,2,0.1
O2024000319,C001670,P00200,2024-01-08,2,0.0
O2024000320,C002710,P00076,2024-01-08,4,0.0
O2024000321,C000615,P00160,2024-01-08,1,0.0
O2024000322,C002242,P00071,2024-01-08,3,0.1
O2024000323,C001944,P00082,2024-01-08,1,0.15
O2024000324,C000795,P00175,2024-01-08,1,0.0
O2024000325,C000229,P00074,2024-01-08,1,0.0
O2024000326,C001295,P00053,2024-01-08,1,0.0
O2024000327,C000466,P00036,2024-01-08,1,0.0
O2024000328,C001286,P00103,2024-01-08,3,0.03
O2024000329,C000611,P00079,2024-01-08,2,0.0
O2024000330,C002375,P00042,2024-01-08,2,0.1
O2024000331,C002697,P00195,2024-01-08,1,0.0
O2024000332,C001433,P00138,2024-01-08,1,0.15
O2024000333,C000557,P00058,2024-01-08,1,0.05
O2024000334,C000870,P00038,2024-01-08,1,0.05
O2024000335,C002162,P00097,2024-01-08,1,0.1
O2024000336,C000772,P00031,2024-01-08,3,0.0
O2024000337,C000735,P00097,2024-01-08,3,0.05
O2024000338,C000405,P00090,2024-01-08,1,0.03
O2024000339,C002858,P00050,2024-01-08,1,0.05
O2024000340,C000968,P00036,2024-01-08,2,0.0
O2024000341,C001896,P00078,2024-01-08,4,0.0
O2024000342,C001901,P00075,2024-01-08,1,0.0
O2024000343,C002392,P00061,2024-01-08,1,0.05
O2024000344,C002921,P00173,2024-01-08,3,0.1
O2024000345,C001583,P00111,2024-01-08,1,0.0
O2024000346,C002318,P00026,2024-01-08,2,0.0
O2024000347,C002509,P00031,2024-01-08,1,0.0
O2024000348,C001601,P00152,2024-01-08,1,0.03
O2024000349,C001872,P00163,2024-01-08,4,0.05
O2024000350,C002713,P00086,2024-01-08,1,0.0
O2024000351,C001225,P00190,2024-01-08,1,0.05
O2024000352,C001653,P00019,2024-01-08,1,0.1
O2024000353,C000741,P00050,2024-01-08,1,0.05
O2024000354,C002075,P00053,2024-01-08,1,0.1
O2024000355,C001173,P00048,2024-01-08,2,0.0
O2024000356,C003000,P00119,2024-01-08,1,0.1
O2024000357,C001628,P00025,2024-01-08,2,0.1
O2024000358,C002284,P00074,2024-01-08,2,0.0
O2024000359,C001861,P00027,2024-01-08,1,0.03
O2024000360,C000682,P00185,2024-01-08,1,0.0
O2024000361,C001874,P00082,2024-01-09,2,0.0
O2024000362,C000814,P00048,2024-01-09,1,0.05
O2024000363,C001637,P00099,2024-01-09,1,0.05
O2024000364,C000524,P00006,2024-01-09,1,0.0
O2024000365,C002551,P00159,2024-01-09,1,0.0
O2024000366,C000255,P00124,2024-01-09,1,0.0
O2024000367,C002703,P00006,2024-01-09,1,0.0
O2024000368,C002096,P00109,2024-01-09,3,0.05
O2024000369,C002612,P00133,2024-01-09,1,0.0
O2024000370,C002026,P00200,2024-01-09,1,0.05
O2024000371,C002635,P00075,2024-01-09,4,0.0
O2024000372,C000583,P00012,2024-01-09,1,0.15
O2024000373,C002385,P00026,2024-01-09,1,0.0
O2024000374,C001685,P00095,2024-01-09,1,0.1
O2024000375,C002065,P00085,2024-01-09,1,0.0
O2024000376,C000722,P00035,2024-01-09,1,0.0
O2024000377,C000686,P00019,2024-01-09,1,0.03
O2024000378,C000759,P00159,2024-01-09,1,0.05
O2024000379,C002306,P00094,2024-01-09,1,0.05
O2024000380,C001456,P00162,2024-01-09,1,0.05
O2024000381,C001442,P00115,2024-01-09,1,0.05
O2024000382,C002750,P00183,2024-01-09,3,0.05
O2024000383,C000217,P00191,2024-01-09,1,0.0
O2024000384,C001671,P00103,2024-01-09,1,0.0
O2024000385,C000812,P00001,2024-01-09,1,0.2
O2024000386,C002417,P00070,2024-01-09,3,0.03
O2024000387,C002536,P00164,2024-01-09,1,0.0
O2024000388,C001831,P00180,2024-01-09,2,0.03
O2024000389,C002014,P00147,2024-01-09,1,0.03
O2024000390,C001816,P00015,2024-01-09,1,0.05
O2024000391,C000017,P00008,2024-01-09,2,0.05
O2024000392,C000933,P00147,2024-01-09,1,0.0
O2024000393,C002200,P00001,2024-01-09,1,0.0
O2024000394,C001026,P00077,2024-01-09,2,0.05
O2024000395,C000851,P00060,2024-01-09,1,0.05
O2024000396,C000067,P00103,2024-01-09,1,0.0
O2024000397,C000081,P00049,2024-01-09,2,0.0
O2024000398,C001520,P00195,2024-01-09,1,0.0
O2024000399,C002362,P00004,2024-01-09,1,0.0
O2024000400,C001341,P00010,2024-01-10,1,0.0
O2024000401,C000165,P00050,2024-01-10,1,0.0
O2024000402,C000273,P00055,2024-01-10,3,0.0
O2024000403,C002732,P00019,2024-01-10,1,0.0
O2024000404,C002238,P00082,2024-01-10,1,0.0
O2024000405,C001154,P00005,2024-01-10,1,0.05
O2024000406,C002234,P00096,2024-01-10,1,0.0
O2024000407,C000996,P00046,2024-01-10,1,0.0
O2024000408,C002799,P00113,2024-01-10,2,0.0
O2024000409,C002040,P00175,2024-01-10,1,0.0
O2024000410,C001980,P00001,2024-01-10,1,0.0
O2024000411,C001362,P00196,2024-01-10,2,0.15
O2024000412,C000739,P00106,2024-01-10,1,0.05
O2024000413,C002128,P00167,2024-01-10,1,0.05
O2024000414,C002807,P00140,2024-01-10,1,0.05
O2024000415,C001154,P00148,2024-01-10,1,0.1
O2024000416,C001305,P00052,2024-01-10,1,0.15
O2024000417,C000023,P00140,2024-01-10,2,0.05
O2024000418,C002364,P00091,2024-01-10,4,0.0
O2024000419,C000091,P00024,2024-01-10,2,0.05
O2024000420,C001720,P00134,2024-01-10,1,0.0
O2024000421,C002871,P00196,2024-01-10,2,0.15
O2024000422,C002345,P00031,2024-01-10,2,0.0
O2024000423,C001231,P00006,2024-01-10,1,0.05
O2024000424,C002128,P00070,2024-01-10,1,0.1
O2024000425,C002374,P00066,2024-01-10,1,0.03
O2024000426,C002328,P00158,2024-01-10,2,0.0
O2024000427,C000814,P00068,2024-01-10,1,0.0
O2024000428,C000037,P00054,2024-01-10,1,0.0
O2024000429,C000735,P00137,2024-01-10,1,0.15
O2024000430,C002836,P00150,2024-01-10,1,0.0
O2024000431,C002232,P00197,2024-01-10,1,0.0
O2024000432,C001206,P00191,2024-01-10,1,0.0
O2024000433,C000333,P00002,2024-01-10,1,0.0
O2024000434,C000125,P00107,2024-01-10,2,0.1
O2024000435,C001696,P00138,2024-01-10,1,0.05
O2024000436,C001019,P00033,2024-01-10,2,0.05
O2024000437,C000175,P00039,2024-01-10,1,0.05
O2024000438,C000908,P00159,2024-01-10,1,0.0
O2024000439,C002044,P00038,2024-01-10,1,0.03
O2024000440,C000456,P00024,2024-01-10,1,0.05
O2024000441,C001512,P00006,2024-01-10,2,0.0
O2024000442,C000966,P00060,2024-01-10,3,0.1
O2024000443,C000730,P00034,2024-01-10,1,0.1
O2024000444,C001862,P00053,2024-01-10,1,0.0
O2024000445,C000605,P00066,2024-01-10,1,0.15
O2024000446,C002779,P00109,2024-01-10,1,0.0
O2024000447,C000697,P00011,2024-01-10,2,0.03
O2024000448,C001360,P00076,2024-01-10,3,0.0
O2024000449,C001245,P00184,2024-01-10,2,0.0
O2024000450,C002781,P00181,2024-01-10,1,0.1
O2024000451,C000629,P00045,2024-01-10,1,0.05
O2024000452,C000097,P00050,2024-01-10,1,0.0
O2024000453,C000548,P00055,2024-01-10,1,0.0
O2024000454,C002848,P00029,2024-01-10,2,0.05
O2024000455,C002866,P00028,2024-01-10,1,0.0
O2024000456,C000362,P00091,2024-01-11,1,0.0
O2024000457,C000930,P00050,2024-01-11,1,0.0
O2024000458,C002061,P00006,2024-01-11,2,0.05
O2024000459,C001936,P00009,2024-01-11,1,0.05
O2024000460,C002751,P00108,2024-01-11,2,0.15
O2024000461,C002442,P00039,2024-01-11,3,0.05
O2024000462,C001371,P00119,2024-01-11,1,0.05
O2024000463,C002627,P00119,2024-01-11,2,0.05
O2024000464,C002306,P00045,2024-01-11,2,0.05
O2024000465,C002835,P00166,2024-01-11,2,0.1
O2024000466,C002880,P00186,2024-01-11,2,0.05
O2024000467,C000975,P00166,2024-01-11,1,0.0
O2024000468,C000531,P00169,2024-01-11,1,0.0
O2024000469,C002097,P00048,2024-01-11,1,0.1
O2024000470,C000175,P00177,2024-01-11,1,0.15
O2024000471,C001991,P00049,2024-01-11,1,0.0
O2024000472,C000154,P00038,2024-01-11,1,0.1
O2024000473,C001154,P00065,2024-01-11,4,0.0
O2024000474,C001026,P00195,2024-01-11,1,0.05
O2024000475,C000101,P00076,2024-01-11,4,0.1
O2024000476,C001922,P00075,2024-01-11,3,0.0
O2024000477,C000449,P00199,2024-01-11,1,0.05
O2024000478,C002651,P00057,2024-01-11,1,0.0
O2024000479,C002850,P00191,2024-01-11,3,0.0
O2024000480,C002629,P00087,2024-01-11,2,0.1
O2024000481,C001308,P00065,2024-01-11,1,0.05
O2024000482,C001817,P00095,2024-01-11,2,0.05
O2024000483,C002437,P00006,2024-01-11,1,0.0
O2024000484,C002032,P00145,2024-01-11,2,0.1
O2024000485,C002229,P00124,2024-01-11,1,0.0
O2024000486,C000751,P00014,2024-01-11,1,0.05
O2024000487,C002445,P00069,2024-01-11,1,0.0
O2024000488,C000826,P00114,2024-01-11,1,0.1
O2024000489,C001416,P00192,2024-01-11,1,0.0
O2024000490,C002734,P00048,2024-01-11,1,0.1
O2024000491,C001711,P00076,2024-01-11,2,0.0
O2024000492,C000753,P00045,2024-01-11,1,0.15
O2024000493,C001739,P00048,2024-01-11,1,0.03
O2024000494,C001952,P00137,2024-01-11,1,0.1
O2024000495,C002584,P00052,2024-01-11,1,0.0
O2024000496,C000985,P00050,2024-01-11,1,0.0
O2024000497,C001868,P00090,2024-01-12,2,0.1
O2024000498,C001040,P00200,2024-01-12,1,0.15
O2024000499,C002355,P00163,2024-01-12,2,0.0
O2024000500,C002259,P00053,2024-01-12,3,0.05
O2024000501,C001323,P00006,2024-01-12,4,0.1
O2024000502,C002314,P00170,2024-01-12,1,0.0
O2024000503,C000090,P00174,2024-01-12,1,0.05
O2024000504,C001773,P00128,2024-01-12,1,0.0
O2024000505,C002267,P00019,2024-01-12,1,0.05
O2024000506,C002853,P00096,2024-01-12,3,0.0
O2024000507,C001498,P00065,2024-01-12,3,0.0
O2024000508,C002391,P00152,2024-01-12,1,0.0
O2024000509,C002802,P00062,2024-01-12,2,0.1
O2024000510,C001780,P00069,2024-01-12,1,0.05
O2024000511,C002989,P00151,2024-01-12,1,0.05
O2024000512,C001527,P00170,2024-01-12,1,0.1
O2024000513,C000753,P00109,2024-01-12,2,0.05
O2024000514,C002212,P00019,2024-01-12,1,0.05
O2024000515,C002601,P00022,2024-01-12,2,0.1
O2024000516,C002916,P00065,2024-01-12,2,0.05
