시군구,단지명,계약월,전용면적(㎡),거래금액_만원,거래금액_억원,면적구간
서울특별시 강남구 세곡동,강남엘에이치1단지,2024-12-01,84.83,159500,15.95,60-85㎡
서울특별시 강남구 일원동,샘터마을,2024-12-01,134.438,276000,27.6,120㎡ 초과
서울특별시 강남구 압구정동,"현대1차(12,13,21,22,31,32,33동)",2024-12-01,196.21,873000,87.3,120㎡ 초과
서울특별시 강남구 일원동,수서,2024-12-01,50.82,109000,10.9,40-60㎡
서울특별시 강남구 도곡동,도곡렉슬,2024-12-01,114.9931,358000,35.8,85-120㎡
서울특별시 강남구 도곡동,한신(개포),2024-12-01,59.48,250000,25.0,40-60㎡
서울특별시 강남구 압구정동,미성2차,2024-12-01,140.9,520000,52.0,120㎡ 초과
서울특별시 강남구 대치동,"쌍용대치아파트1동,2동,3동,5동,6동",2024-12-01,128.03,370000,37.0,120㎡ 초과
서울특별시 강남구 도곡동,타워팰리스2,2024-12-01,162.6,440000,44.0,120㎡ 초과
서울특별시 강남구 대치동,"쌍용대치아파트1동,2동,3동,5동,6동",2024-12-01,83.56,292500,29.25,60-85㎡
서울특별시 강남구 대치동,대치아이파크,2024-12-01,119.58,407300,40.73,85-120㎡
서울특별시 강남구 대치동,선경1차(1동-7동),2024-12-01,136.68,438000,43.8,120㎡ 초과
서울특별시 강남구 대치동,래미안대치팰리스,2024-12-01,94.49,438000,43.8,85-120㎡
서울특별시 강남구 역삼동,대우디오빌,2024-12-01,30.03,29500,2.95,40㎡ 이하
서울특별시 강남구 대치동,개포우성2,2024-12-01,159.6,530000,53.0,120㎡ 초과
서울특별시 강남구 자곡동,강남자곡 힐스테이트,2024-12-01,59.93,105000,10.5,40-60㎡
서울특별시 강남구 일원동,개포한신,2024-12-01,107.6,230000,23.0,85-120㎡
서울특별시 강남구 역삼동,래미안그레이튼(진달래2차),2024-12-01,84.87,275000,27.5,60-85㎡
서울특별시 강남구 대치동,대우아이빌명문가(891-23),2024-12-01,33.06,29000,2.9,40㎡ 이하
서울특별시 강남구 청담동,삼환(101동),2024-12-01,84.98,180000,18.0,60-85㎡
서울특별시 강남구 일원동,상록수,2024-12-01,74.54,218000,21.8,60-85㎡
서울특별시 강남구 일원동,래미안 개포 루체하임,2024-12-01,84.97,270000,27.0,60-85㎡
서울특별시 강남구 개포동,성원대치2단지아파트,2024-12-01,33.18,103500,10.35,40㎡ 이하
서울특별시 강남구 개포동,우성8,2024-12-01,79.61,220000,22.0,60-85㎡
서울특별시 강남구 압구정동,"현대6차(78~81,83,84,86,87동)",2024-12-01,144.7,610000,61.0,120㎡ 초과
서울특별시 강남구 압구정동,"현대6차(78~81,83,84,86,87동)",2024-12-01,144.7,610000,61.0,120㎡ 초과
서울특별시 강남구 수서동,삼성,2024-12-01,84.97,204500,20.45,60-85㎡
서울특별시 강남구 수서동,까치마을,2024-12-01,34.44,88000,8.8,40㎡ 이하
서울특별시 강남구 대치동,대치현대,2024-12-01,59.82,184500,18.45,40-60㎡
서울특별시 강남구 대치동,개포우성1,2024-12-01,84.81,340000,34.0,60-85㎡
서울특별시 강남구 대치동,개포우성2,2024-12-01,127.78,460000,46.0,120㎡ 초과
서울특별시 강남구 압구정동,미성2차,2024-12-01,118.63,450000,45.0,85-120㎡
서울특별시 강남구 압구정동,한양7,2024-12-01,110.25,390000,39.0,85-120㎡
서울특별시 강남구 도곡동,타워팰리스1,2024-12-01,164.97,520000,52.0,120㎡ 초과
서울특별시 강남구 개포동,디에이치아너힐즈,2024-12-01,59.8732,246000,24.6,40-60㎡
서울특별시 강남구 일원동,래미안 개포 루체하임,2024-12-01,101.97,301500,30.15,85-120㎡
서울특별시 강남구 대치동,은마,2024-12-01,84.43,293500,29.35,60-85㎡
서울특별시 강남구 압구정동,현대8차(성수현대:91~95동),2024-12-01,107.64,440000,44.0,85-120㎡
서울특별시 강남구 압구정동,한양1차(영동한양),2024-12-01,91.21,430000,43.0,85-120㎡
서울특별시 강남구 개포동,개포래미안포레스트,2024-12-01,59.92,240000,24.0,40-60㎡
서울특별시 강남구 압구정동,현대8차(성수현대:91~95동),2024-12-01,107.64,445000,44.5,85-120㎡
서울특별시 강남구 역삼동,개나리래미안,2024-12-01,144.98,322000,32.2,120㎡ 초과
서울특별시 강남구 일원동,우성7,2024-12-01,83.69,239000,23.9,60-85㎡
서울특별시 강남구 삼성동,진흥아파트,2024-12-01,170.01,390000,39.0,120㎡ 초과
서울특별시 강남구 청담동,PH129,2024-12-01,273.96,1380000,138.0,120㎡ 초과
서울특별시 강남구 청담동,현대아파트,2024-12-01,84.78,172800,17.28,60-85㎡
서울특별시 강남구 수서동,신동아,2024-12-01,39.53,110000,11.0,40㎡ 이하
서울특별시 강남구 역삼동,대림역삼,2024-12-01,84.96,190000,19.0,60-85㎡
서울특별시 강남구 대치동,롯데캐슬,2024-12-01,84.75,215000,21.5,60-85㎡
서울특별시 강남구 삼성동,현대힐스테이트2단지,2024-12-01,40.586,140000,14.0,40-60㎡
서울특별시 강남구 도곡동,삼성래미안,2024-12-01,122.81,325000,32.5,120㎡ 초과
서울특별시 강남구 청담동,청담건영,2024-12-01,84.595,250000,25.0,60-85㎡
서울특별시 강남구 압구정동,신현대9차,2024-12-01,109.24,500000,50.0,85-120㎡
서울특별시 강남구 삼성동,LG선릉에클라트(B),2024-12-01,36.35,41000,4.1,40㎡ 이하
서울특별시 강남구 자곡동,강남자곡 힐스테이트,2024-12-01,74.8,118500,11.85,60-85㎡
서울특별시 강남구 대치동,선경2차(8동-12동),2024-12-01,160.76,500000,50.0,120㎡ 초과
서울특별시 강남구 도곡동,타워팰리스1,2024-12-01,174.67,540000,54.0,120㎡ 초과
서울특별시 강남구 도곡동,타워팰리스1,2024-12-01,174.67,550000,55.0,120㎡ 초과
서울특별시 강남구 도곡동,타워팰리스1,2024-12-01,174.67,550000,55.0,120㎡ 초과
서울특별시 강남구 대치동,래미안대치팰리스,2024-12-01,84.97,355000,35.5,60-85㎡
서울특별시 강남구 압구정동,한양7,2024-12-01,137.55,540000,54.0,120㎡ 초과
서울특별시 강남구 삼성동,현대힐스테이트2단지,2024-12-01,39.552,141000,14.1,40㎡ 이하
서울특별시 강남구 수서동,까치마을,2024-12-01,34.44,89800,8.98,40㎡ 이하
서울특별시 강남구 세곡동,강남엘에이치1단지,2024-12-01,84.83,145000,14.5,60-85㎡
서울특별시 강남구 논현동,한진로즈힐,2024-12-01,84.94,159000,15.9,60-85㎡
서울특별시 강남구 압구정동,한양7,2024-12-01,106.22,380000,38.0,85-120㎡
서울특별시 강남구 도곡동,럭키(963),2024-12-01,84.97,201000,20.1,60-85㎡
서울특별시 강남구 도곡동,럭키(963),2024-12-01,84.97,201000,20.1,60-85㎡
서울특별시 강남구 도곡동,현대비젼21,2024-12-01,33.1,36500,3.65,40㎡ 이하
서울특별시 강남구 도곡동,도곡쌍용예가,2024-12-01,66.0,190000,19.0,60-85㎡
서울특별시 강남구 수서동,신동아,2024-12-01,39.51,125000,12.5,40㎡ 이하
서울특별시 강남구 수서동,삼익,2024-12-01,60.0,152000,15.2,40-60㎡
서울특별시 강남구 역삼동,역삼래미안,2024-12-01,59.4,224000,22.4,40-60㎡
서울특별시 강남구 도곡동,경남,2024-12-01,59.76,159500,15.95,40-60㎡
서울특별시 강남구 삼성동,삼성동힐스테이트 1단지,2024-11-01,84.236,280000,28.0,60-85㎡
서울특별시 강남구 압구정동,한양1차(영동한양),2024-11-01,65.16,357000,35.7,60-85㎡
서울특별시 강남구 압구정동,신현대11차,2024-11-01,183.41,840000,84.0,120㎡ 초과
서울특별시 강남구 압구정동,"현대6차(78~81,83,84,86,87동)",2024-11-01,144.2,600000,60.0,120㎡ 초과
서울특별시 강남구 수서동,까치마을,2024-11-01,34.44,87000,8.7,40㎡ 이하
서울특별시 강남구 수서동,까치마을,2024-11-01,39.6,106000,10.6,40㎡ 이하
서울특별시 강남구 수서동,까치마을,2024-11-01,39.6,106000,10.6,40㎡ 이하
서울특별시 강남구 수서동,동익,2024-11-01,84.46,161000,16.1,60-85㎡
서울특별시 강남구 도곡동,대림,2024-11-01,84.95,203500,20.35,60-85㎡
서울특별시 강남구 도곡동,타워팰리스2,2024-11-01,115.63,335000,33.5,85-120㎡
서울특별시 강남구 청담동,청담자이,2024-11-01,49.593,220000,22.0,40-60㎡
서울특별시 강남구 개포동,삼익대청아파트,2024-11-01,39.53,121000,12.1,40㎡ 이하
서울특별시 강남구 대치동,동부센트레빌,2024-11-01,145.83,520000,52.0,120㎡ 초과
서울특별시 강남구 삼성동,LG선릉에클라트(B),2024-11-01,36.35,31000,3.1,40㎡ 이하
서울특별시 강남구 도곡동,한신엠비씨,2024-11-01,58.46,172000,17.2,40-60㎡
서울특별시 강남구 청담동,청담아이파크,2024-11-01,110.14,293000,29.3,85-120㎡
서울특별시 강남구 자곡동,강남자곡아이파크,2024-11-01,74.89,155000,15.5,60-85㎡
서울특별시 강남구 압구정동,한양4,2024-11-01,101.09,425000,42.5,85-120㎡
서울특별시 강남구 압구정동,"현대1차(12,13,21,22,31,32,33동)",2024-11-01,196.21,890000,89.0,120㎡ 초과
서울특별시 강남구 신사동,래미안신사,2024-11-01,84.89,218000,21.8,60-85㎡
서울특별시 강남구 신사동,신성아파트101동,2024-11-01,84.9,195000,19.5,60-85㎡
서울특별시 강남구 삼성동,삼성리치빌1,2024-11-01,84.98,160000,16.0,60-85㎡
서울특별시 강남구 수서동,강남데시앙포레,2024-11-01,59.97,150000,15.0,40-60㎡
서울특별시 강남구 도곡동,도곡우성아파트,2024-11-01,84.83,203000,20.3,60-85㎡
서울특별시 강남구 일원동,개포한신,2024-11-01,107.6,230000,23.0,85-120㎡
서울특별시 강남구 개포동,대치푸르지오발라드,2024-11-01,55.4924,143922,14.3922,40-60㎡
서울특별시 강남구 대치동,풍림아이원4차(1007-2),2024-11-01,111.54,215000,21.5,85-120㎡
서울특별시 강남구 대치동,은마,2024-11-01,76.79,280000,28.0,60-85㎡
서울특별시 강남구 개포동,대치푸르지오발라드,2024-11-01,41.3882,103632,10.3632,40-60㎡
서울특별시 강남구 도곡동,타워팰리스1,2024-11-01,137.24,420000,42.0,120㎡ 초과
서울특별시 강남구 삼성동,LG선릉에클라트(B),2024-11-01,36.35,30700,3.07,40㎡ 이하
서울특별시 강남구 수서동,동익,2024-11-01,84.46,167000,16.7,60-85㎡
서울특별시 강남구 수서동,수서한아름,2024-11-01,97.63,183000,18.3,85-120㎡
서울특별시 강남구 자곡동,래미안포레,2024-11-01,101.51,169500,16.95,85-120㎡
서울특별시 강남구 자곡동,(토지임대부아파트)강남브리즈힐,2024-11-01,74.04,95000,9.5,60-85㎡
서울특별시 강남구 일원동,래미안 개포 루체하임,2024-11-01,84.97,278000,27.8,60-85㎡
서울특별시 강남구 일원동,개포한신,2024-11-01,107.6,216000,21.6,85-120㎡
서울특별시 강남구 자곡동,(토지임대부아파트)강남브리즈힐,2024-11-01,74.04,95000,9.5,60-85㎡
서울특별시 강남구 역삼동,래미안그레이튼,2024-11-01,84.97,275000,27.5,60-85㎡
서울특별시 강남구 역삼동,e-편한세상,2024-11-01,59.947,235500,23.55,40-60㎡
서울특별시 강남구 개포동,삼익대청아파트,2024-11-01,51.12,150000,15.0,40-60㎡
서울특별시 강남구 대치동,은마,2024-11-01,76.79,272500,27.25,60-85㎡
서울특별시 강남구 대치동,은마,2024-11-01,76.79,272500,27.25,60-85㎡
서울특별시 강남구 압구정동,한양1차(영동한양),2024-11-01,91.21,450000,45.0,85-120㎡
서울특별시 강남구 일원동,상록수,2024-11-01,84.95,229000,22.9,60-85㎡
서울특별시 강남구 개포동,디에이치아너힐즈,2024-11-01,84.3558,327000,32.7,60-85㎡
서울특별시 강남구 역삼동,래미안그레이튼,2024-11-01,59.97,231000,23.1,40-60㎡
서울특별시 강남구 수서동,강남데시앙포레,2024-11-01,59.74,151700,15.17,40-60㎡
서울특별시 강남구 역삼동,강남센트럴아이파크,2024-11-01,84.99,327000,32.7,60-85㎡
서울특별시 강남구 대치동,은마,2024-11-01,76.79,272500,27.25,60-85㎡
서울특별시 강남구 압구정동,미성2차,2024-11-01,140.9,490000,49.0,120㎡ 초과
서울특별시 강남구 대치동,은마,2024-11-01,84.43,295000,29.5,60-85㎡
서울특별시 강남구 개포동,개포래미안포레스트,2024-11-01,59.96,222000,22.2,40-60㎡
서울특별시 강남구 도곡동,현대그린1,2024-11-01,84.93,172000,17.2,60-85㎡
서울특별시 강남구 논현동,한양수자인어반게이트,2024-11-01,16.2,19400,1.94,40㎡ 이하
서울특별시 강남구 수서동,신동아,2024-11-01,33.18,96000,9.6,40㎡ 이하
서울특별시 강남구 대치동,한보미도맨션2,2024-11-01,84.96,317000,31.7,60-85㎡
서울특별시 강남구 도곡동,도곡렉슬,2024-11-01,114.9931,390000,39.0,85-120㎡
서울특별시 강남구 개포동,개포래미안포레스트,2024-11-01,49.92,200000,20.0,40-60㎡
서울특별시 강남구 압구정동,"현대2차(10,11,20,23,24,25동)",2024-11-01,160.28,730000,73.0,120㎡ 초과
서울특별시 강남구 대치동,래미안대치팰리스,2024-11-01,84.97,393000,39.3,60-85㎡
서울특별시 강남구 압구정동,"현대7차(73~77,82,85동)",2024-11-01,157.36,660000,66.0,120㎡ 초과
서울특별시 강남구 압구정동,신현대12차,2024-11-01,155.52,715000,71.5,120㎡ 초과
서울특별시 강남구 개포동,래미안블레스티지,2024-11-01,99.919,345000,34.5,85-120㎡
서울특별시 강남구 도곡동,한신엠비씨,2024-11-01,117.57,232500,23.25,85-120㎡
서울특별시 강남구 일원동,수서,2024-11-01,59.94,121500,12.15,40-60㎡
서울특별시 강남구 세곡동,강남엘에이치1단지,2024-11-01,84.82,139500,13.95,60-85㎡
서울특별시 강남구 수서동,신동아,2024-11-01,39.53,119500,11.95,40㎡ 이하
서울특별시 강남구 역삼동,e-편한세상,2024-11-01,59.606,236000,23.6,40-60㎡
서울특별시 강남구 압구정동,"현대14차(203,204,205,206동)",2024-11-01,84.94,470000,47.0,60-85㎡
서울특별시 강남구 세곡동,강남엘에이치1단지,2024-11-01,59.89,130000,13.0,40-60㎡
서울특별시 강남구 삼성동,롯데캐슬프레미어,2024-11-01,101.81,297000,29.7,85-120㎡
서울특별시 강남구 삼성동,삼성동한솔아파트,2024-11-01,58.57,163000,16.3,40-60㎡
서울특별시 강남구 도곡동,도곡렉슬,2024-11-01,59.9818,248000,24.8,40-60㎡
서울특별시 강남구 역삼동,개나리SK뷰,2024-11-01,127.27,379000,37.9,120㎡ 초과
서울특별시 강남구 대치동,은마,2024-11-01,76.79,269000,26.9,60-85㎡
서울특별시 강남구 압구정동,미성2차,2024-11-01,74.4,340000,34.0,60-85㎡
서울특별시 강남구 수서동,삼익,2024-11-01,60.0,155000,15.5,40-60㎡
서울특별시 강남구 도곡동,도곡렉슬,2024-11-01,84.9984,335000,33.5,60-85㎡
서울특별시 강남구 역삼동,역삼동우정에쉐르1,2024-11-01,71.78,81000,8.1,60-85㎡
서울특별시 강남구 역삼동,역삼I'PARK,2024-11-01,28.246,74000,7.4,40㎡ 이하
서울특별시 강남구 청담동,"청담2차이-편한세상(201동,202동,203동)",2024-11-01,101.7,221000,22.1,85-120㎡
서울특별시 강남구 삼성동,래미안삼성1차(105-0),2024-11-01,84.95,225000,22.5,60-85㎡
서울특별시 강남구 논현동,동현아파트1~6,2024-11-01,84.92,224000,22.4,60-85㎡
서울특별시 강남구 수서동,까치마을,2024-11-01,34.44,89000,8.9,40㎡ 이하
서울특별시 강남구 역삼동,역삼래미안,2024-11-01,80.87,263000,26.3,60-85㎡
서울특별시 강남구 개포동,경남2차,2024-11-01,91.91,247000,24.7,85-120㎡
서울특별시 강남구 도곡동,삼성래미안,2024-11-01,84.89,270000,27.0,60-85㎡
서울특별시 강남구 수서동,까치마을,2024-11-01,34.44,87000,8.7,40㎡ 이하
서울특별시 강남구 수서동,삼익,2024-11-01,60.0,152000,15.2,40-60㎡
서울특별시 강남구 수서동,삼익,2024-11-01,60.0,153000,15.3,40-60㎡
